county,candidate,party,office,district,votes
Adams,Stewart Alexander,Socialist,President,,8
Adams,Susan Daniels,,President,,0
Adams,Richard Duncan,Independent,President,,55
Adams,Virgil Goode,Constitution,President,,32
Adams,Gary Johnson,Libertarian,President,,98
Adams,Nelson Keyton,,President,,0
Adams,Barack Obama,Democratic,President,,3976
Adams,Jill Reed,,President,,0
Adams,Platt Robertson,,President,,0
Adams,Mitt Romney,Republican,President,,6865
Adams,Jill Stein,Green,President,,55
Adams,Randall Terry,,President,,0
Adams,Mike Vargo,,President,,0
Allen,Stewart Alexander,Socialist,President,,22
Allen,Susan Daniels,,President,,0
Allen,Richard Duncan,Independent,President,,110
Allen,Virgil Goode,Constitution,President,,60
Allen,Gary Johnson,Libertarian,President,,464
Allen,Nelson Keyton,,President,,0
Allen,Barack Obama,Democratic,President,,17914
Allen,Jill Reed,,President,,0
Allen,Platt Robertson,,President,,0
Allen,Mitt Romney,Republican,President,,29502
Allen,Jill Stein,Green,President,,164
Allen,Randall Terry,,President,,0
Allen,Mike Vargo,,President,,0
Ashland,Stewart Alexander,Socialist,President,,19
Ashland,Susan Daniels,,President,,0
Ashland,Richard Duncan,Independent,President,,84
Ashland,Virgil Goode,Constitution,President,,91
Ashland,Gary Johnson,Libertarian,President,,221
Ashland,Nelson Keyton,,President,,0
Ashland,Barack Obama,Democratic,President,,8281
Ashland,Jill Reed,,President,,0
Ashland,Platt Robertson,,President,,0
Ashland,Mitt Romney,Republican,President,,15519
Ashland,Jill Stein,Green,President,,115
Ashland,Randall Terry,,President,,0
Ashland,Mike Vargo,,President,,0
Ashtabula,Stewart Alexander,Socialist,President,,34
Ashtabula,Susan Daniels,,President,,0
Ashtabula,Richard Duncan,Independent,President,,176
Ashtabula,Virgil Goode,Constitution,President,,94
Ashtabula,Gary Johnson,Libertarian,President,,433
Ashtabula,Nelson Keyton,,President,,0
Ashtabula,Barack Obama,Democratic,President,,23803
Ashtabula,Jill Reed,,President,,1
Ashtabula,Platt Robertson,,President,,0
Ashtabula,Mitt Romney,Republican,President,,18298
Ashtabula,Jill Stein,Green,President,,224
Ashtabula,Randall Terry,,President,,0
Ashtabula,Mike Vargo,,President,,0
Athens,Stewart Alexander,Socialist,President,,21
Athens,Susan Daniels,,President,,0
Athens,Richard Duncan,Independent,President,,102
Athens,Virgil Goode,Constitution,President,,43
Athens,Gary Johnson,Libertarian,President,,434
Athens,Nelson Keyton,,President,,0
Athens,Barack Obama,Democratic,President,,18307
Athens,Jill Reed,,President,,0
Athens,Platt Robertson,,President,,0
Athens,Mitt Romney,Republican,President,,8543
Athens,Jill Stein,Green,President,,188
Athens,Randall Terry,,President,,0
Athens,Mike Vargo,,President,,0
Auglaize,Stewart Alexander,Socialist,President,,9
Auglaize,Susan Daniels,,President,,0
Auglaize,Richard Duncan,Independent,President,,66
Auglaize,Virgil Goode,Constitution,President,,38
Auglaize,Gary Johnson,Libertarian,President,,209
Auglaize,Nelson Keyton,,President,,0
Auglaize,Barack Obama,Democratic,President,,5831
Auglaize,Jill Reed,,President,,0
Auglaize,Platt Robertson,,President,,0
Auglaize,Mitt Romney,Republican,President,,17169
Auglaize,Jill Stein,Green,President,,83
Auglaize,Randall Terry,,President,,0
Auglaize,Mike Vargo,,President,,0
Belmont,Stewart Alexander,Socialist,President,,14
Belmont,Susan Daniels,,President,,0
Belmont,Richard Duncan,Independent,President,,165
Belmont,Virgil Goode,Constitution,President,,60
Belmont,Gary Johnson,Libertarian,President,,232
Belmont,Nelson Keyton,,President,,0
Belmont,Barack Obama,Democratic,President,,14156
