county,precinct,precinct_code,office,district,party,candidate,votes
Adams,BRATTON TOWNSHIP,AAA,U.S. House,2,R,Brad Wenstrup (R),614
Adams,BRATTON TOWNSHIP,AAA,State Senate,14,R,Stephanie L. Kunze,0
Adams,BRATTON TOWNSHIP,AAA,State House,90,R,Shane Wilkin,0
Adams,BRUSH CREEK TOWNSHIP,AAB,U.S. House,2,R,Brad Wenstrup (R),437
Adams,BRUSH CREEK TOWNSHIP,AAB,State Senate,14,R,Stephanie L. Kunze,0
Adams,BRUSH CREEK TOWNSHIP,AAB,State House,90,R,Shane Wilkin,0
Adams,LOCUST GROVE,AAD,U.S. House,2,R,Brad Wenstrup (R),471
Adams,LOCUST GROVE,AAD,State Senate,14,R,Stephanie L. Kunze,0
Adams,LOCUST GROVE,AAD,State House,90,R,Shane Wilkin,0
Adams,GREEN TOWNSHIP,AAE,U.S. House,2,R,Brad Wenstrup (R),215
Adams,GREEN TOWNSHIP,AAE,State Senate,14,R,Stephanie L. Kunze,0
Adams,GREEN TOWNSHIP,AAE,State House,90,R,Shane Wilkin,0
Adams,JEFFERSON TOWNSHIP,AAG,U.S. House,2,R,Brad Wenstrup (R),258
Adams,JEFFERSON TOWNSHIP,AAG,State Senate,14,R,Stephanie L. Kunze,0
Adams,JEFFERSON TOWNSHIP,AAG,State House,90,R,Shane Wilkin,0
Adams,LIBERTY TOWNSHIP,AAI,U.S. House,2,R,Brad Wenstrup (R),779
Adams,LIBERTY TOWNSHIP,AAI,State Senate,14,R,Stephanie L. Kunze,0
Adams,LIBERTY TOWNSHIP,AAI,State House,90,R,Shane Wilkin,0
Adams,MANCHESTER UNITED TOWNSHIP,AAK,U.S. House,2,R,Brad Wenstrup (R),479
Adams,MANCHESTER UNITED TOWNSHIP,AAK,State Senate,14,R,Stephanie L. Kunze,0
Adams,MANCHESTER UNITED TOWNSHIP,AAK,State House,90,R,Shane Wilkin,0
Adams,MEIGS TOWNSHIP,AAN,U.S. House,2,R,Brad Wenstrup (R),744
Adams,MEIGS TOWNSHIP,AAN,State Senate,14,R,Stephanie L. Kunze,0
Adams,MEIGS TOWNSHIP,AAN,State House,90,R,Shane Wilkin,0
Adams,PEEBLES VILLAGE,AAP,U.S. House,2,R,Brad Wenstrup (R),523
Adams,PEEBLES VILLAGE,AAP,State Senate,14,R,Stephanie L. Kunze,0
Adams,PEEBLES VILLAGE,AAP,State House,90,R,Shane Wilkin,0
Adams,MONROE TOWNSHIP,AAR,U.S. House,2,R,Brad Wenstrup (R),222
Adams,MONROE TOWNSHIP,AAR,State Senate,14,R,Stephanie L. Kunze,0
Adams,MONROE TOWNSHIP,AAR,State House,90,R,Shane Wilkin,0
Adams,OLIVER TOWNSHIP,AAS,U.S. House,2,R,Brad Wenstrup (R),367
Adams,OLIVER TOWNSHIP,AAS,State Senate,14,R,Stephanie L. Kunze,0
Adams,OLIVER TOWNSHIP,AAS,State House,90,R,Shane Wilkin,0
Adams,SCOTT TOWNSHIP,AAT,U.S. House,2,R,Brad Wenstrup (R),513
Adams,SCOTT TOWNSHIP,AAT,State Senate,14,R,Stephanie L. Kunze,0
Adams,SCOTT TOWNSHIP,AAT,State House,90,R,Shane Wilkin,0
Adams,SEAMAN VILLAGE,AAU,U.S. House,2,R,Brad Wenstrup (R),333
Adams,SEAMAN VILLAGE,AAU,State Senate,14,R,Stephanie L. Kunze,0
Adams,SEAMAN VILLAGE,AAU,State House,90,R,Shane Wilkin,0
Adams,SPRIGG TOWNSHIP,AAW,U.S. House,2,R,Brad Wenstrup (R),669
Adams,SPRIGG TOWNSHIP,AAW,State Senate,14,R,Stephanie L. Kunze,0
Adams,SPRIGG TOWNSHIP,AAW,State House,90,R,Shane Wilkin,0
Adams,TIFFIN EAST,AAY,U.S. House,2,R,Brad Wenstrup (R),447
