county,candidate,votes,district,party,office
Adams,Eva Braiman,0,,WI,Governor
Allen,Eva Braiman,0,,WI,Governor
Ashland,Eva Braiman,0,,WI,Governor
Ashtabula,Eva Braiman,0,,WI,Governor
Athens,Eva Braiman,0,,WI,Governor
Auglaize,Eva Braiman,0,,WI,Governor
Belmont,Eva Braiman,0,,WI,Governor
Brown,Eva Braiman,0,,WI,Governor
Butler,Eva Braiman,0,,WI,Governor
Carroll,Eva Braiman,0,,WI,Governor
Champaign,Eva Braiman,0,,WI,Governor
Clark,Eva Braiman,1,,WI,Governor
Clermont,Eva Braiman,0,,WI,Governor
Clinton,Eva Braiman,0,,WI,Governor
Columbiana,Eva Braiman,0,,WI,Governor
Coshocton,Eva Braiman,0,,WI,Governor
Crawford,Eva Braiman,0,,WI,Governor
Cuyahoga,Eva Braiman,6,,WI,Governor
Darke,Eva Braiman,0,,WI,Governor
Defiance,Eva Braiman,0,,WI,Governor
Delaware,Eva Braiman,0,,WI,Governor
Erie,Eva Braiman,1,,WI,Governor
Fairfield,Eva Braiman,0,,WI,Governor
Fayette,Eva Braiman,0,,WI,Governor
Franklin,Eva Braiman,3,,WI,Governor
Fulton,Eva Braiman,0,,WI,Governor
Gallia,Eva Braiman,0,,WI,Governor
Geauga,Eva Braiman,0,,WI,Governor
Greene,Eva Braiman,0,,WI,Governor
Guernsey,Eva Braiman,1,,WI,Governor
Hamilton,Eva Braiman,2,,WI,Governor
Hancock,Eva Braiman,0,,WI,Governor
Hardin,Eva Braiman,0,,WI,Governor
Harrison,Eva Braiman,0,,WI,Governor
Henry,Eva Braiman,0,,WI,Governor
Highland,Eva Braiman,0,,WI,Governor
Hocking,Eva Braiman,0,,WI,Governor
Holmes,Eva Braiman,0,,WI,Governor
Huron,Eva Braiman,0,,WI,Governor
Jackson,Eva Braiman,0,,WI,Governor
Jefferson,Eva Braiman,0,,WI,Governor
Knox,Eva Braiman,0,,WI,Governor
Lake,Eva Braiman,1,,WI,Governor
Lawrence,Eva Braiman,0,,WI,Governor
Licking,Eva Braiman,0,,WI,Governor
Logan,Eva Braiman,0,,WI,Governor
Lorain,Eva Braiman,1,,WI,Governor
Lucas,Eva Braiman,1,,WI,Governor
Madison,Eva Braiman,0,,WI,Governor
Mahoning,Eva Braiman,62,,WI,Governor
Marion,Eva Braiman,0,,WI,Governor
Medina,Eva Braiman,0,,WI,Governor
Meigs,Eva Braiman,0,,WI,Governor
Mercer,Eva Braiman,0,,WI,Governor
Miami,Eva Braiman,0,,WI,Governor
Monroe,Eva Braiman,0,,WI,Governor
Montgomery,Eva Braiman,4,,WI,Governor
Morgan,Eva Braiman,0,,WI,Governor
Morrow,Eva Braiman,0,,WI,Governor
Muskingum,Eva Braiman,0,,WI,Governor
Noble,Eva Braiman,0,,WI,Governor
Ottawa,Eva Braiman,0,,WI,Governor
Paulding,Eva Braiman,0,,WI,Governor
Perry,Eva Braiman,0,,WI,Governor
Pickaway,Eva Braiman,0,,WI,Governor
Pike,Eva Braiman,0,,WI,Governor
Portage,Eva Braiman,0,,WI,Governor
Preble,Eva Braiman,0,,WI,Governor
Putnam,Eva Braiman,0,,WI,Governor
Richland,Eva Braiman,0,,WI,Governor
Ross,Eva Braiman,0,,WI,Governor
Sandusky,Eva Braiman,0,,WI,Governor
Scioto,Eva Braiman,0,,WI,Governor
Seneca,Eva Braiman,0,,WI,Governor
Shelby,Eva Braiman,0,,WI,Governor
Stark,Eva Braiman,0,,WI,Governor
Summit,Eva Braiman,0,,WI,Governor
Trumbull,Eva Braiman,0,,WI,Governor
Tuscarawas,Eva Braiman,0,,WI,Governor
Union,Eva Braiman,0,,WI,Governor
Van Wert,Eva Braiman,0,,WI,Governor
Vinton,Eva Braiman,0,,WI,Governor
Warren,Eva Braiman,0,,WI,Governor
Washington,Eva Braiman,0,,WI,Governor
Wayne,Eva Braiman,0,,WI,Governor
Williams,Eva Braiman,0,,WI,Governor
Wood,Eva Braiman,1,,WI,Governor
Wyandot,Eva Braiman,0,,WI,Governor
Adams,John Eastman,302,,,Governor
Allen,John Eastman,1891,,,Governor
Ashland,John Eastman,529,,,Governor
Ashtabula,John Eastman,1097,,,Governor
Athens,John Eastman,930,,,Governor
Auglaize,John Eastman,836,,,Governor
Belmont,John Eastman,852,,,Governor
Brown,John Eastman,488,,,Governor
Butler,John Eastman,3689,,,Governor
Carroll,John Eastman,394,,,Governor
Champaign,John Eastman,658,,,Governor
Clark,John Eastman,2273,,,Governor
Clermont,John Eastman,1639,,,Governor
Clinton,John Eastman,488,,,Governor
Columbiana,John Eastman,1249,,,Governor
Coshocton,John Eastman,508,,,Governor
Crawford,John Eastman,619,,,Governor
Cuyahoga,John Eastman,10481,,,Governor
Darke,John Eastman,929,,,Governor
Defiance,John Eastman,372,,,Governor
Delaware,John Eastman,1771,,,Governor
Erie,John Eastman,631,,,Governor
Fairfield,John Eastman,2104,,,Governor
Fayette,John Eastman,324,,,Governor
Franklin,John Eastman,11465,,,Governor
Fulton,John Eastman,412,,,Governor
Gallia,John Eastman,426,,,Governor
Geauga,John Eastman,955,,,Governor
Greene,John Eastman,2265,,,Governor
Guernsey,John Eastman,455,,,Governor
Hamilton,John Eastman,9274,,,Governor
Hancock,John Eastman,681,,,Governor
Hardin,John Eastman,403,,,Governor
Harrison,John Eastman,249,,,Governor
