County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (at-large),,R,Jeb Bush,303
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (at-large),,R,Ben Carson,670
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (at-large),,R,Chris Christie,142
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (at-large),,R,Ted Cruz,"12,622"
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (at-large),,R,Carly Fiorina,144
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (at-large),,R,Mike Huckabee,194
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (at-large),,R,John R. Kasich,"78,712"
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (at-large),,R,Marco Rubio,"4,716"
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (at-large),,R,Rick Santorum,93
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (at-large),,R,Donald J. Trump,"47,061"
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),09,R,Jeb Bush,146
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),09,R,Ben Carson,325
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),09,R,Chris Christie,92
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),09,R,Ted Cruz,"3,095"
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),09,R,Carly Fiorina,92
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),09,R,John R. Kasich,"15,623"
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),09,R,Marco Rubio,"1,154"
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),09,R,Donald J. Trump,"10,033"
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),11,R,Jeb Bush,161
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),11,R,Ben Carson,360
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),11,R,Chris Christie,104
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),11,R,Ted Cruz,"2,940"
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),11,R,Carly Fiorina,122
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),11,R,Mike Huckabee,125
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),11,R,John R. Kasich,"20,223"
Cuyahoga,Northeast,Cleveland,"848,720","361,098",President (district),11,R,Marco Rubio,"1,482"
