county,candidate,party,office,district,votes,pct
Adams,Ted Celeste,D,U.S. Senate,,2949,27.49%
Adams,Mike Dewine,R,U.S. Senate,,6508,60.67%
Adams,John Eastman,N,U.S. Senate,,187,1.74%
Adams,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Adams,Patrick Flower,,U.S. Senate,,0,0.00%
Adams,John Mcalister,L,U.S. Senate,,238,2.22%
Allen,Ted Celeste,D,U.S. Senate,,11134,25.19%
Allen,Mike Dewine,R,U.S. Senate,,27926,63.17%
Allen,John Eastman,N,U.S. Senate,,619,1.40%
Allen,Michael Fitzsimmons,,U.S. Senate,,2,0.00%
Allen,Patrick Flower,,U.S. Senate,,1,0.00%
Allen,John Mcalister,L,U.S. Senate,,877,1.98%
Ashland,Ted Celeste,D,U.S. Senate,,4708,21.86%
Ashland,Mike Dewine,R,U.S. Senate,,14992,69.62%
Ashland,John Eastman,N,U.S. Senate,,263,1.22%
Ashland,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Ashland,Patrick Flower,,U.S. Senate,,0,0.00%
Ashland,John Mcalister,L,U.S. Senate,,601,2.79%
Ashtabula,Ted Celeste,D,U.S. Senate,,14764,36.56%
Ashtabula,Mike Dewine,R,U.S. Senate,,21628,53.56%
Ashtabula,John Eastman,N,U.S. Senate,,607,1.50%
Ashtabula,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Ashtabula,Patrick Flower,,U.S. Senate,,0,0.00%
Ashtabula,John Mcalister,L,U.S. Senate,,1165,2.89%
Athens,Ted Celeste,D,U.S. Senate,,11069,42.76%
Athens,Mike Dewine,R,U.S. Senate,,11466,44.29%
Athens,John Eastman,N,U.S. Senate,,442,1.71%
Athens,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Athens,Patrick Flower,,U.S. Senate,,1,0.00%
Athens,John Mcalister,L,U.S. Senate,,1190,4.60%
Auglaize,Ted Celeste,D,U.S. Senate,,4194,20.75%
Auglaize,Mike Dewine,R,U.S. Senate,,14578,72.13%
Auglaize,John Eastman,N,U.S. Senate,,289,1.43%
Auglaize,Michael Fitzsimmons,,U.S. Senate,,1,0.00%
Auglaize,Patrick Flower,,U.S. Senate,,0,0.00%
Auglaize,John Mcalister,L,U.S. Senate,,424,2.10%
Belmont,Ted Celeste,D,U.S. Senate,,14176,45.67%
Belmont,Mike Dewine,R,U.S. Senate,,13467,43.39%
Belmont,John Eastman,N,U.S. Senate,,429,1.38%
Belmont,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Belmont,Patrick Flower,,U.S. Senate,,0,0.00%
Belmont,John Mcalister,L,U.S. Senate,,726,2.34%
Brown,Ted Celeste,D,U.S. Senate,,4755,28.20%
Brown,Mike Dewine,R,U.S. Senate,,10467,62.07%
Brown,John Eastman,N,U.S. Senate,,260,1.54%
Brown,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Brown,Patrick Flower,,U.S. Senate,,0,0.00%
Brown,John Mcalister,L,U.S. Senate,,382,2.27%
Butler,Ted Celeste,D,U.S. Senate,,34748,25.00%
Butler,Mike Dewine,R,U.S. Senate,,91886,66.11%
Butler,John Eastman,N,U.S. Senate,,1862,1.34%
Butler,Michael Fitzsimmons,,U.S. Senate,,1,0.00%
Butler,Patrick Flower,,U.S. Senate,,2,0.00%
Butler,John Mcalister,L,U.S. Senate,,3465,2.49%
Carroll,Ted Celeste,D,U.S. Senate,,3833,30.48%
Carroll,Mike Dewine,R,U.S. Senate,,7525,59.84%
Carroll,John Eastman,N,U.S. Senate,,231,1.84%
Carroll,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Carroll,Patrick Flower,,U.S. Senate,,0,0.00%
Carroll,John Mcalister,L,U.S. Senate,,328,2.61%
Champaign,Ted Celeste,D,U.S. Senate,,5299,33.05%
Champaign,Mike Dewine,R,U.S. Senate,,8497,52.99%
Champaign,John Eastman,N,U.S. Senate,,548,3.42%
Champaign,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Champaign,Patrick Flower,,U.S. Senate,,0,0.00%
Champaign,John Mcalister,L,U.S. Senate,,861,5.37%
Clark,Ted Celeste,D,U.S. Senate,,19508,33.13%
Clark,Mike Dewine,R,U.S. Senate,,34297,58.25%
Clark,John Eastman,N,U.S. Senate,,1208,2.05%
Clark,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Clark,Patrick Flower,,U.S. Senate,,0,0.00%
Clark,John Mcalister,L,U.S. Senate,,1556,2.64%
Clermont,Ted Celeste,D,U.S. Senate,,16167,22.69%
Clermont,Mike Dewine,R,U.S. Senate,,49325,69.24%
