county,candidate,party,office,district,votes
Sandusky,Rex Damschroder,R,State House,89,7467
Hancock,Mike Gilb,R,State House,,6064
Allen,John Williamowski,R,State House,1,15562
Greene,,R,State House,,2528
Crawford,Steve Reinhard,R,State House,,3428
Shelby,,R,State House,,276
Mercer,,R,State House,,4724
Wayne,Jim Carmichael,R,State House,,8499
Cuyahoga,Michael Maleski,R,State House,19,184
Hardin,,R,State House,,3059
Warren,Tom Raga,R,State House,,11875
Clermont,,R,State House,,353
Marion,,R,State House,,700
Clinton,,R,State House,,1292
Preble,,R,State House,,1193
Trumbull,,R,State House,,185
Summit,Christopher Long,R,State House,47,3758
Logan,Susan Wish,R,State House,,3328
Medina,,R,State House,,1840
Hamilton,Tawana Simons,R,State House,,5649
Auglaize,,R,State House,,298
Hardin,,R,State House,,1202
Union,,R,State House,,3272
Franklin,Amy Salerno,R,State House,23,6027
Williams,,R,State House,,6453
Marion,,R,State House,,2115
Miami,Diana Fessler,R,State House,43,6105
Champaign,Richard Herron,R,State House,,605
Henry,James Hoops,R,State House,83,4265
Lorain,,R,State House,,993
Carroll,Ron Hood,R,State House,,2953
Greene,Kevin Dewine,R,State House,76,13305
Mercer,,R,State House,,1257
Wyandot,,R,State House,,1280
Knox,,R,State House,,6292
Summit,Kevin Coughlin,R,State House,46,14299
Hamilton,Tony Condia,R,State House,33,4828
Coshocton,Van Slack,R,State House,,1201
Erie,Robert Bickley,R,State House,,1892
Jackson,,R,State House,,5845
Noble,,R,State House,,1592
Franklin,Larry Wolpert,R,State House,29,13111
Franklin,Stew Flaherty,R,State House,,7495
Summit,Bryan Williams,R,State House,45,11772
Hamilton,Jim Raussen,R,State House,32,6346
Preble,,R,State House,,4187
Hocking,,R,State House,,2354
Lucas,James Mettler,R,State House,52,8013
Adams,Dennis Stapleton,R,State House,88,3265
Wayne,Don Demkee,R,State House,7,4643
Franklin,Geoffrey Smith,R,State House,28,8168
Geauga,Georgia Parks,R,State House,,1561
Madison,,R,State House,,608
Columbiana,Charles Blasdel,R,State House,3,5615
Clermont,Jean Schmidt,R,State House,71,14789
Perry,,R,State House,,3280
Cuyahoga,Brian Day,R,State House,20,45
Clark,Robert Bennett,R,State House,,3709
Columbiana,Curtis Bacon,R,State House,,3681
Stark,,R,State House,,1547
Ashland,Bill Harris,R,State House,93,7144
Greene,,R,State House,,3047
Brown,Melvin Dean,R,State House,72,1246
Coshocton,Jim Aslanides,R,State House,95,4725
Tuscarawas,,R,State House,,346
Lorain,Connie Carr,R,State House,61,3550
Stark,Mary Cain,R,State House,,4596
Butler,Gregory Jolivette,R,State House,59,11252
Trumbull,,R,State House,,1138
Tuscarawas,,R,State House,,6544
Licking,,R,State House,,1806
Lucas,John Garcia,R,State House,50,4029
Clermont,,R,State House,,2138
Muskingum,,R,State House,,3187
Cuyahoga,Theodore Guerry,R,State House,9,51
Madison,,R,State House,,2138
Darke,Keith Faber,R,State House,84,3649
Marion,,R,State House,,3251
Lucas,Lynn Olman,R,State House,51,11220
Seneca,,R,State House,,6061
Hamilton,Bill Seitz,R,State House,34,11334
Hardin,,R,State House,,500
Highland,,R,State House,,4588
Pickaway,"David Wilson, D.",R,State House,91,2207
Logan,Anthony Core,R,State House,87,5237
Wood,Robert Latta,R,State House,4,13572
Vinton,,R,State House,,1082
Gallia,"John Carey, Jr.",R,State House,94,4100
Clark,Bryce Smedley,R,State House,73,3175
Warren,Ed Wade,R,State House,,4898
Franklin,Beverly Corner,R,State House,21,1539
Trumbull,,R,State House,,214
Muskingum,,R,State House,,3576
Clinton,,R,State House,,2053
Carroll,Ron Barnhart,R,State House,57,1036
Lawrence,,R,State House,,2879
Lucas,Steve Kohli,R,State House,49,1229
Pickaway,,R,State House,,717
Mahoning,Nancy Hull,R,State House,65,6470
Auglaize,,R,State House,,1079
Seneca,,R,State House,,584
Union,,R,State House,,3685
Clermont,,R,State House,,2168
Preble,,R,State House,,1991
Seneca,,R,State House,,228
Warren,Betty Davis,R,State House,2,9432
Licking,David Evans,R,State House,77,15972
Marion,,R,State House,,237
Fairfield,Brian Fox,R,State House,6,9237
Washington,,R,State House,,1665
Franklin,Dave Robinson,R,State House,27,5629
Pike,,R,State House,,1516
Montgomery,Jon Husted,R,State House,41,11230
Huron,,R,State House,,2242
Cuyahoga,James Trakas,R,State House,15,10233
Lorain,,R,State House,,2101
Franklin,Linda Reidelbach,R,State House,26,7605
Geauga,Timothy Grendell,R,State House,,7459
Butler,Sally Southard,R,State House,,2781
Trumbull,Charles Burger,R,State House,66,3354
Cuyahoga,Caroline Gioitta,R,State House,10,542
Trumbull,,R,State House,,295
Cuyahoga,Martin Lynch,R,State House,14,67
Washington,,R,State House,,5610
Hamilton,Joanne Kemmerer,R,State House,31,2586
Lake,Ronald Young,R,State House,69,9157
Defiance,Stephen Buehrer,R,State House,82,4117
Montgomery,,R,State House,,1817
Stark,Eric Bonk,R,State House,54,1212
Meigs,,R,State House,,3800
Erie,J. Lendrum,R,State House,,1579
Stark,Thomas Zwick,R,State House,,6429
Erie,Dennis Walters,R,State House,63,692
