county,candidate,party,office,district,votes
Adams,Harry Browne,L,President,,20
Allen,Harry Browne,L,President,,134
Ashland,Harry Browne,L,President,,63
Ashtabula,Harry Browne,L,President,,141
Athens,Harry Browne,L,President,,123
Auglaize,Harry Browne,L,President,,43
Belmont,Harry Browne,L,President,,91
Brown,Harry Browne,L,President,,49
Butler,Harry Browne,L,President,,427
Carroll,Harry Browne,L,President,,39
Champaign,Harry Browne,L,President,,43
Clark,Harry Browne,L,President,,202
Clermont,Harry Browne,L,President,,225
Clinton,Harry Browne,L,President,,48
Columbiana,Harry Browne,L,President,,95
Coshocton,Harry Browne,L,President,,36
Crawford,Harry Browne,L,President,,44
Cuyahoga,Harry Browne,L,President,,1374
Darke,Harry Browne,L,President,,75
Defiance,Harry Browne,L,President,,34
Delaware,Harry Browne,L,President,,162
Erie,Harry Browne,L,President,,57
Fairfield,Harry Browne,L,President,,138
Fayette,Harry Browne,L,President,,11
Franklin,Harry Browne,L,President,,1427
Fulton,Harry Browne,L,President,,34
Gallia,Harry Browne,L,President,,29
Geauga,Harry Browne,L,President,,153
Greene,Harry Browne,L,President,,242
Guernsey,Harry Browne,L,President,,36
Hamilton,Harry Browne,L,President,,1242
Hancock,Harry Browne,L,President,,84
Hardin,Harry Browne,L,President,,50
Harrison,Harry Browne,L,President,,23
Henry,Harry Browne,L,President,,32
Highland,Harry Browne,L,President,,43
Hocking,Harry Browne,L,President,,35
Holmes,Harry Browne,L,President,,21
Huron,Harry Browne,L,President,,60
Jackson,Harry Browne,L,President,,33
Jefferson,Harry Browne,L,President,,92
Knox,Harry Browne,L,President,,76
Lake,Harry Browne,L,President,,269
Lawrence,Harry Browne,L,President,,36
Licking,Harry Browne,L,President,,185
Logan,Harry Browne,L,President,,55
Lorain,Harry Browne,L,President,,253
Lucas,Harry Browne,L,President,,519
Madison,Harry Browne,L,President,,44
Mahoning,Harry Browne,L,President,,183
Marion,Harry Browne,L,President,,46
Medina,Harry Browne,L,President,,198
Meigs,Harry Browne,L,President,,33
Mercer,Harry Browne,L,President,,43
Miami,Harry Browne,L,President,,173
Monroe,Harry Browne,L,President,,28
Montgomery,Harry Browne,L,President,,827
Morgan,Harry Browne,L,President,,11
Morrow,Harry Browne,L,President,,33
Muskingum,Harry Browne,L,President,,79
Noble,Harry Browne,L,President,,13
Ottawa,Harry Browne,L,President,,41
Paulding,Harry Browne,L,President,,25
Perry,Harry Browne,L,President,,28
Pickaway,Harry Browne,L,President,,45
Pike,Harry Browne,L,President,,31
Portage,Harry Browne,L,President,,216
Preble,Harry Browne,L,President,,95
Putnam,Harry Browne,L,President,,45
Richland,Harry Browne,L,President,,120
Ross,Harry Browne,L,President,,60
Sandusky,Harry Browne,L,President,,86
Scioto,Harry Browne,L,President,,85
Seneca,Harry Browne,L,President,,55
Shelby,Harry Browne,L,President,,50
Stark,Harry Browne,L,President,,425
Summit,Harry Browne,L,President,,626
Trumbull,Harry Browne,L,President,,200
Tuscarawas,Harry Browne,L,President,,95
Union,Harry Browne,L,President,,50
Van Wert,Harry Browne,L,President,,39
